premise	hypothesis	gold_label	original_premise	original_hypothesis
We require extra resources to continue enhancing the capabilities of GAO and serve as an exemplary federal government and accountability organization for others worldwide	Our goal is to enhance GAO's capabilities due to the numerous issues it is currently facing	not_entailment	We need these additional resources to continue our efforts to further strengthen GAO and be a model organization for the rest of the federal government and accountability organizations around the world.	We want to make GAO stronger because it has a lot of problems right now.
If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	Regardless of the situation, the book requires only one attempt to sell it	not_entailment	If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book will only need one pitching no matter what.
Local newspapers and influential satellite broadcasters, including al Jazeera, frequently present the United States as an adversary to Muslims	Certain newspapers publish articles containing negative comments about Muslims	entailment	Local newspapers and the few influential satellite broadcasters-like al Jazeera-often reinforce the jihadist theme that portrays the United States as anti-Muslim.	Some newspapers spread anti-Muslim rhetoric.
A few blocks behind the malecan there are several clubs that are becoming more urban in character	The assortment of clubs is expanding and has a more modern character	entailment	Just a few blocks in back of the malecen are a growing collection of unique clubs with a more urban edge.	The growing collection of clubs are unique and have a more urban edge.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	Everyone in the house was feeling sad because Joe was not present	entailment	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	Everyone in the house was moping because they missed Joe so much.
The gentle, temperature-controlled language of children soothes our concerns regarding computers that malfunction and terminate unexpectedly	Children's spoken words have a calming effect on us when we encounter computer malfunctions such as crashes, bombs, or aborts	entailment	The soft, warm, children's words allow us to allay our fears about computers that crash and bomb and abort.	Children's words are soft and warm which allays our fears about computers that crash and bomb and abort.
If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book may require another attempt to sell it	entailment	If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book might need a second pitching.
Population growth has the opposite effect of pollution in terms of environmental impact	The expansion of a population does not cause an increase in pollution	not_entailment	Population growth is like pollution in reverse.	There is no relation between population growth and pollution.
You criticize me for not accepting your handshake even though I am aware of your criminal past	He declined to take his hands away from the scene because they had come into contact with a criminal act	entailment	You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse? He stared at her open-mouthed.	He chose not to take his hands because they are tainted with a crime.
The USDA proposes a bill to increase its power to enforce regulations	According to the USDA, they require more personnel	entailment	The USDA argues, however, that what is needed is more enforcement power, and to that end, it is advancing a bill designed to expand its authority.	The USDA says they need a bigger force.
While traveling through this area, you might come across the remnants of an old chimney that rises above the treetops, indicating that there was once a large farm or estate in the vicinity	The chimney, among other things, indicate the village used to be part of a hacienda.	not_entailment	As you pass through them you may see an old chimney breaking above the tree line, a sure sign that the village was once part of a hacienda.	The chimney, among other things, indicate the village used to be part of a hacienda.
Your assistance today will allow us to enhance significantly the Center's educational, leadership, and outreach initiatives	You could assist us in establishing a presence in seven states	not_entailment	Your help today will enable us to strengthen further America's philanthropic heritage by expanding the Center's crucial educational, leadership and outreach programs.	You could help us expand into seven states.
