premise	hypothesis	label
he absorbed the knowledge or beliefs of his tribe.	he mentally assimilated the knowledge or beliefs of his tribe .	entailment
he absorbed the costs for the accident.	he paid for the costs for the accident .	entailment
the sales tax is absorbed into the state income tax.	the sales tax is incorporated into the state income tax .	entailment
the immigrants were quickly absorbed into society.	the immigrants were quickly assimilated into society .	entailment
her interest in butterflies absorbs her completely.	her interest in butterflies engages her completely .	entailment
you must adhere to the rules.	you must obey the rules .	entailment
the residents of this village adhered to catholicism.	the residents of this village were devoted in belief to catholicism .	entailment
this problem admits of no solution	this problem allows for no solution	entailment
she aired her opinions on welfare	she openly discussed her opinions on welfare	entailment
this idea will never amount to anything	this idea will never be worth anything	entailment
the steering of my new car answers to the slightest touch	the steering of my new car is sensitive to the slightest touch	entailment
i attacked the problem as soon as i got out of bed	i tried solving the problem as soon as i got out of bed	entailment
which horse are you backing?	which horse are you betting on ?	entailment
she was besieged by so many problems that she got discouraged	she was surrounded by so many problems that she got discouraged	entailment
she tended to blast when speaking into a microphone	she tended to be loud when speaking into a microphone	entailment
meteors blazed across the atmosphere.	meteors moved quickly across the atmosphere .	entailment
the distinction between the two theories blurred	the distinction between the two theories became unclear	entailment
don't bolt your food!	don't swallow your food without chewing !	entailment
the government bowed to the military pressure	the government acquiesced to the military pressure	entailment
he breathed new life into the old house	he brought new life into the old house	entailment
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic fabric exchanges gases with the environment and is perfect for summer wear	entailment
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours	entailment
this office is buzzing with activity	this office is full of activity	entailment
he buzzed the servant	he communicated with the servant by means of a buzzer	entailment
she captured all the men's hearts	she charmed all the men	entailment
the judge clapped him in jail	the judge hastily put him in jail	entailment
they clawed their way to the top of the mountain.	they physically exerted themselves to climb to the top of the mountain	entailment
she clawed the doorknob.	she grabbed the doorknob with her fingertips .	entailment
the politician clawed his rival.	the politician flattered his rival .	entailment
sales were climbing after prices were lowered	sales were steadily increasing after prices were lowered	entailment
the path climbed all the way to the top of the hill	the path extended all the way to the top of the hill	entailment
this young man knows how to climb the social ladder	this young man knows how to improve his position in the social hierarchy	entailment
prices climbed steeply	prices went up steeply	entailment
the market is being clogged by these operations	the market is being hindered by these operations	entailment
fear clogged her mind	fear impeded her thoughts	entailment
my personal feelings color my judgment in this case	my personal feelings influence my judgment in this case	entailment
his political ideas color his lectures	his political ideas influence his lectures	entailment
the rooms communicated	the rooms were connected to each other	entailment
his devotion to his sick wife condemned him to a lonely existence	his devotion to his sick wife made him have a lonely existence	entailment
the fire consumed the building	the fire overtook the building	entailment
the comedian convulsed the crowd	the comedian created great laughter in the crowd	entailment
