premise	hypothesis	gold_label	original_premise
The girl was as light-footed and easily distracted as a sparrow	The girl was very fickle.	entailment	The girl had the flightiness of a sparrow
The girl was as light-footed and easily distracted as a sparrow	The girl was very stable.	not_entailment	The girl had the flightiness of a sparrow
The girl behaved in an unstable manner, similar to a rock	The girl was very stable.	entailment	The girl had the flightiness of a rock
The girl behaved in an unstable manner, similar to a rock	The girl was very fickle.	not_entailment	The girl had the flightiness of a rock
The atmosphere was very calm and quiet, similar to that inside a church	It was very peaceful.	entailment	It was as peaceful as a church.
The atmosphere was very calm and quiet, similar to that inside a church	It was full of conflict and danger, not peace.	not_entailment	It was as peaceful as a church.
The atmosphere was not tranquil; it contained the tension and noise typical of a battlefield	It was full of conflict and danger, not peace.	entailment	It was as peaceful as a battlefield.
The atmosphere was not tranquil; it contained the tension and noise typical of a battlefield	It was very peaceful.	not_entailment	It was as peaceful as a battlefield.
The leaves had the same color as grass	The leaves were very green	entailment	The leaves were as green as grass
The leaves had the same color as grass	The leaves were brown and not green at all.	not_entailment	The leaves were as green as grass
The leaves had the same color as the soil	The leaves were brown and not green at all.	entailment	The leaves were as green as dirt
The leaves had the same color as the soil	The leaves were very green	not_entailment	The leaves were as green as dirt
In a sunny day, shopping for groceries is similar to collecting shells on a beach	Shopping for groceries is a fun, rewarding chore	entailment	Shopping for groceries is finding shells on a sunny beach
In a sunny day, shopping for groceries is similar to collecting shells on a beach	Shopping for groceries is a crazy, nearly impossible chore	not_entailment	Shopping for groceries is finding shells on a sunny beach
Shopping for groceries involves searching for specific items based on a list prepared by an uncon	Shopping for groceries is a crazy, nearly impossible chore	entailment	Shopping for groceries is a scavenger hunt with a list created by a lunatic
Shopping for groceries involves searching for specific items based on a list prepared by an uncon	Shopping for groceries is a fun, rewarding chore	not_entailment	Shopping for groceries is a scavenger hunt with a list created by a lunatic
War is an unwarranted destruction or harm inflicted upon a part of a larger entity	War is the wrong solution to a problem	entailment	War is an amputation on the wrong limb
War is an unwarranted destruction or harm inflicted upon a part of a larger entity	War is a necessary solution	not_entailment	War is an amputation on the wrong limb
Going to war is a drastic measure to preserve your existence	War is a necessary solution	entailment	War is an amputation to save your life
Going to war is a drastic measure to preserve your existence	War is the wrong solution to a problem	not_entailment	War is an amputation to save your life
It is very green, similar to grass during the spring season	It's fairy green	entailment	It's as green as grass in the spring
It is very green, similar to grass during the spring season	It's not too green	not_entailment	It's as green as grass in the spring
The grass is very green during this hot summer	It's not too green	entailment	It's as green as grass during a hot summer
The grass is very green during this hot summer	It's fairy green	not_entailment	It's as green as grass during a hot summer
This is as quiet and tranquil as a sleeping puppy	It's very peaceful	entailment	This is as peaceful as a sleeping puppy
This is as quiet and tranquil as a sleeping puppy	It's not very peaceful	not_entailment	This is as peaceful as a sleeping puppy
This is as tranquil as Europe was in the ,	It's not very peaceful	entailment	This is as peaceful as European in the '40s
