premise	hypothesis	gold_label	original_hypothesis
It is sad to observe the consequences of ignorance.	It's unfortunate to see the consequences of not having knowledge	entailment	It is sad to observe the fruits of ignorance.
It is amusing to observe the fruits of ignorance.	It's unfortunate to see the consequences of not having knowledge	not_entailment	It is sad to observe the fruits of ignorance.
That guy knows how to charm and manage people and work his way up the social ladder.	This young man is skilled at advancing his social status	entailment	This young man knows how to climb the social ladder.
This young man is stuck in the middle of this social ladder.	This young man is skilled at advancing his social status	not_entailment	This young man knows how to climb the social ladder.
A man who is fat and large floats like a log in the small swimming pool.	The man, who was much larger than the average person, swam in the small pool	entailment	The guy was a floating whale in the small swimming pool.
The guy was a drowning otter in the large swimming pool.	The man, who was much larger than the average person, swam in the small pool	not_entailment	The guy was a floating whale in the small swimming pool.
The fact that I was hiding in the steel jungle, moving from one cover to the other, was like being a tiger.	Was a tiger, moving silently from hiding place to hiding place, present near them in the steel	entailment	Was it even now shadowing them, moving soundlessly from cover to cover, like a tiger in the steel jungle ?
The fact that I was hiding in the steel jungle, moving from one cover to the other, was like being scared, afraid and vulnerable	Was a tiger, moving silently from hiding place to hiding place, present near them in the steel	not_entailment	Was it even now shadowing them, moving soundlessly from cover to cover, like a tiger in the steel jungle ?
I tried solving the problem as soon as I got out of bed.	As soon as I got out of bed, I began dealing with the problem	entailment	I attacked the problem as soon as I got out of bed.
I put off doing my work until I had no choice left but to do it.	As soon as I got out of bed, I began dealing with the problem	not_entailment	I attacked the problem as soon as I got out of bed.
I can't stop shaking from the anger, and also I seem to be pale because of the rage.	Feeling intense anger and being very frightened due to rage	entailment	Trembling for ire, and stricken pale for rage.
Trembling for ire, and disregard pale for rage.	Feeling intense anger and being very frightened due to rage	not_entailment	Trembling for ire, and stricken pale for rage.
Marcus spent the whole day reading this book and was happy about it.	Marcus found pleasure in reading the book	entailment	Marcus enjoyed the book.
Marcus hated the book.	Marcus found pleasure in reading the book	not_entailment	Marcus enjoyed the book.
My feelings of love make me very joyous just like a summer day.	I feel great affection towards you, and you bring me joy and happiness, similar to how one experiences	entailment	My love is a summer day.
My love is a long winter night.	I feel great affection towards you, and you bring me joy and happiness, similar to how one experiences	not_entailment	My love is a summer day.
He was involved in a spree for laughing so hard.	He was laughing uncontrollably	entailment	He was interwoven in a laughing fit.
He was uninvolved in a laughing fit.	He was laughing uncontrollably	not_entailment	He was interwoven in a laughing fit.
I was overwhelmed by work.	I was overwhelmed by the amount of work I had to do	entailment	I was drowned in work.
I was rescued from work.	I was overwhelmed by the amount of work I had to do	not_entailment	I was drowned in work.
He never gives up in an argument.	In all the arguments I had with him, I did not emerge as the winner	entailment	I never won an argument with him.
I always win my arguments with him.	In all the arguments I had with him, I did not emerge as the winner	not_entailment	I never won an argument with him.
Only caused the fire to burn brighter ,	Added more fuel to the fire	entailment	Only made the fire burn brighter ,
Only stopped the fire to burn brighter .	He caused the fire to burn more intensely	not_entailment	Only made he fire burn brighter ,
The knowledge of this all put her in a very high state of emotions.	All of this caused a strong feeling of eagerness and enthusiasm in her	entailment	All of this stirred an uncontrollable excitement in her.
All of this stirred a dullness for her.	All of this caused a strong feeling of eagerness and enthusiasm in her	not_entailment	All of this stirred an uncontrollable excitement in her.
Stains on the carpet managed to survive several name changes and still persist.	The stains on the carpet have remained despite all the renaming of the place	entailment	The stains on the carpet have survived every name change .
The stains on the carpet have succumbed to every name change.	The stains on the carpet have remained despite all the renaming of the place	not_entailment	The stains on the carpet have survived every name change .
I hold him dear and love him very much.	He is very dear to me; I love him deeply	entailment	He is the apple of my eye.
I strongly despise him.	He is very dear to me; I love him deeply	not_entailment	He is the apple of my eye.
The dancer moved so fast that it seemed like she was across the stage.	The dancer moved smoothly and gracefully over the stage	entailment	The dancer glided across the stage.
The dancer paused at the middle of the stage.	The dancer moved smoothly and gracefully over the stage	not_entailment	The dancer glided across the stage.
Weather vane tops off this magnificent building.	The top of the building is adorned with a weather vane	entailment	A weather vane crowns the building.
A weather vane mars the building.	The top of the building is adorned with a weather vane	not_entailment	A weather vane crowns the building.
When it rains in Tokyo, umbrellas are everywhere.	In Tokyo, when it rains, many people carry umbrellas	entailment	When it rains in Tokyo the city becomes a sea of umbrellas.
When it rains in Tokyo you won't find umbrellas in it.	In Tokyo, when it rains, many people carry umbrellas	not_entailment	When it rains in Tokyo the city becomes a sea of umbrellas.
She was distracted by her thoughts and memories.	She was deeply engrossed in thinking about her past experiences	entailment	She was lost in her thoughts and memories.
She was attentive and present to the conversation.	She was deeply engrossed in thinking about her past experiences	not_entailment	She was lost in her thoughts and memories.
Their faces were covered with sadness.	Sadness covered their faces completely	entailment	Their faces were blanketed with sadness.
Their faces lost all the sadness and sorrow.	Sadness covered their faces completely	not_entailment	Their faces were blanketed with sadness.
A few people will be affected by the play.	The play will strongly affect or influence a few people	entailment	The play is going to pummel a few people.
The drama is going to make people laugh at the end.	The play will strongly affect or influence a few people	not_entailment	The play is going to pummel a few people.
His snobbishness pissed me off.	His attitude caused strong feelings of anger in me	entailment	His condescending attitude made my blood boil.
His kind demeanor melted my heart.	His attitude caused strong feelings of anger in me	not_entailment	His condescending attitude made my blood boil.
We could still be looking for it when they surpassed us . ’	We might not find it before they sink our ship	entailment	We could still be looking for it when they blow us out of the water.
We could still be looking for it because we beat them soundly.	We might not find it before they sink our ship	not_entailment	We could still be looking for it when they blow us out of the water.
He was overwhelmed by an anger he had suppressed for a long time and thus he finally snapped when someone made him so mad.	An old feeling of anger surfaced and intensified in his heart	entailment	An ancient anger exploded in his heart.
An ancient anger dissipated in his heart.	An old feeling of anger surfaced and intensified in his heart	not_entailment	An ancient anger exploded in his heart.
The critics have pampered this mediocre production with undeserved praise.	The critics spoke extensively about this Broadway production	entailment	The critics hyped this broadway production.
The critics laughed off this broadway production, saying it will be a total flop.	The critics spoke extensively about this Broadway production	not_entailment	The critics hyped this broadway production.
Josh played a sonata of the composer Bach.	Josh performed Bach's compositions on an instrument	entailment	Josh played Bach.
Josh is part of a techno band.	Josh performed Bach's compositions on an instrument	not_entailment	Josh played Bach.
The huge crowd was making so much noise I just couldn't believe it.	The crowd made a loud, continuous noise	entailment	The crowd was a roaring river.
The crowd was a quiet pond.	The crowd made a loud, continuous noise	not_entailment	The crowd was a roaring river.
He made a heartfelt appeal to her but Janet was stone-faced and didn't give any sign of emotion.	He begged for Janet's pardon, yet she remained unmoving and un	entailment	He pleaded for her forgiveness but Janet was a statue.
He pleaded for her forgiveness and Janet smiled.	He begged for Janet's pardon, yet she remained unmoving and un	not_entailment	He pleaded for her forgiveness but Janet was a statue.
Looking at history and realizing most people are ignorant to the origin of modern civilization.	Modern civilization's origins are not a concern for anyone	entailment	Nobody cares about the roots of modern civilization.
Everybody cares about the roots of modern civilization.	Modern civilization's origins are not a concern for anyone	not_entailment	Nobody cares about the roots of modern civilization.
Now he humbled them to pity .	Now he made them feel deep sympathy for him	entailment	Now he melted them to pity.
When he hardened their hearts against mercy.	Now he made them feel deep sympathy for him	not_entailment	Now he melted them to pity.
I long for the darkness to fall around me.	Until the night sets in for us	entailment	Till the darkness falls around us ,
The darkness rose from the ground .	Until the night sets in for us	not_entailment	Till the darkness falls around us ,
She came up with a brilliant idea.	She thought of an idea that could be easily seen or understood	entailment	She had a bright idea.
She was in a dark mood.	She thought of an idea that could be easily seen or understood	not_entailment	She had a bright idea.
The computer in the classroom is a very old model, hence the slow speed and all is to be expected.	The computer in the classroom was very old	entailment	The computer in the classroom was a dinosaur.
The computer in the classroom was a revolutionary.	The computer in the classroom was very old	not_entailment	The computer in the classroom was a dinosaur.
He blatantly said no and gave me a patronising smile .	He responded by saying "no" and gave me a smile that expressed superiority	entailment	No,he said helpfully, then bestowed a patronising smile on me .
Yes,' he said wickedly . Then he looked serious .	He smiled at me in a condescending manner and offered assistance	not_entailment	No, he said helpfully, then bestowed a patronising smile on me .
He mentally assimilated the knowledge or beliefs of his tribe .	He learned the knowledge and beliefs of his tribe	entailment	He absorbed the knowledge or beliefs of his tribe.
He utterly decimated his tribe's most deeply held beliefs.	He learned the knowledge and beliefs of his tribe	not_entailment	He absorbed the knowledge or beliefs of his tribe.
That huge guy beside him made him look so puny.	His friend was significantly taller than him, appearing much larger in size	entailment	His friend was very tall and he looked like a chess piece beside him.
His friend was very short and he looked like a basketball player next to him.	His friend was significantly taller than him, appearing much larger in size	not_entailment	His friend was very tall and he looked like a chess piece beside him.
Ask the person on table 12 whether he wants to exchange or not.	Request table if he desires to exchange	entailment	Ask table 12 whether he wants to swap.
Ask customers at table 12 whether they want to keep the table.	Request table if he desires to exchange	not_entailment	Ask table 12 whether he wants to swap.
She owned all the men's hearts at that party.	She gained the affection or love of all the men	entailment	She captured all the men's hearts.
She could not give a damn about the men in her life.	She gained the affection or love of all the men	not_entailment	She captured all the men's hearts.
It occurs to him that she betrayed him.	He came to realize that she had deceived him	entailment	It dawned to him that she had betrayed him.
It passed him that she had betrayed him.	He came to realize that she had deceived him	not_entailment	It dawned to him that she had betrayed him.
She asked the witnesses for information.	She asked the witnesses for details	entailment	She petitioned the witnesses for information.
She was guarding the witnesses to protect information.	She asked the witnesses for details	not_entailment	She petitioned the witnesses for information.
Seurat was the climax of pointillism .	Seurat reached the highest level of development in pointillism painting technique	entailment	Seurat culminated pointillism.
Seurat was a pioneer of the pointillism Movement.	Seurat reached the highest level of development in pointillism painting technique	not_entailment	Seurat culminated pointillism.
Water got all over the floor.	Water flowed onto the floor	entailment	Water cascaded all over the floor.
Water backed up all over the floor.	Water flowed onto the floor	not_entailment	Water cascaded all over the floor.
You better go to sleep.	Now you can gradually fall into a deep rest	entailment	Now you can fade off to sleep.
Now you can't sleep.	Now you can gradually fall into a deep rest	not_entailment	Now you can fade off to sleep.
She arrived at the grocery store with a massive group of children.	She came to the grocery store accompanied by a large number of children	entailment	She arrived at the grocery store with an army of children.
She arrived at the grocery store with no children.	She came to the grocery store accompanied by a large number of children	not_entailment	She arrived at the grocery store with an army of children.
Yeah, Rohan spent so much on a Picasso painting.	Rohan purchased a painting created by Picasso	entailment	Rohan bought a Picasso.
