premise	hypothesis	gold_label	original_premise
He learned the knowledge and beliefs of his tribe.	he mentally assimilated the knowledge or beliefs of his tribe .	entailment	he absorbed the knowledge or beliefs of his tribe.
He paid for the expenses caused by the accident.	he paid for the costs for the accident .	entailment	he absorbed the costs for the accident.
The sales tax is added to the state income tax.	the sales tax is incorporated into the state income tax .	entailment	the sales tax is absorbed into the state income tax.
The immigrants were rapidly integrated into the social structure.	the immigrants were quickly assimilated into society .	entailment	the immigrants were quickly absorbed into society.
Her interest in butterflies occupies her mind entirely.	her interest in butterflies engages her completely .	entailment	her interest in butterflies absorbs her completely.
You must follow the guidelines.	you must obey the rules .	entailment	you must adhere to the rules.
The people who lived in this village followed the Catholic religion.	the residents of this village were devoted in belief to catholicism .	entailment	the residents of this village adhered to catholicism.
There is no way to solve this problem.	this problem allows for no solution	entailment	this problem admits of no solution
She expressed her views on welfare.	she openly discussed her opinions on welfare	entailment	she aired her opinions on welfare
This concept will not develop into a successful outcome.	this idea will never be worth anything	entailment	this idea will never amount to anything
The steering wheel of my new car responds to the smallest movement of my hand.	the steering of my new car is sensitive to the slightest touch	entailment	the steering of my new car answers to the slightest touch
I started working on the problem immediately after I woke up.	i tried solving the problem as soon as i got out of bed	entailment	i attacked the problem as soon as i got out of bed
Which candidate do you support?	which horse are you betting on ?	entailment	which horse are you backing?
She was overwhelmed by numerous problems, which caused her to lose motivation.	she was surrounded by so many problems that she got discouraged	entailment	she was besieged by so many problems that she got discouraged
She often spoke loudly when using a microphone.	she tended to be loud when speaking into a microphone	entailment	she tended to blast when speaking into a microphone
Meteors moved quickly through the atmosphere, creating a bright trail of light.	meteors moved quickly across the atmosphere .	entailment	meteors blazed across the atmosphere.
The difference between the two theories became less clear.	the distinction between the two theories became unclear	entailment	the distinction between the two theories blurred
Do not eat your food too quickly!	don't swallow your food without chewing !	entailment	don't bolt your food!
The government yielded to the military's demands.	the government acquiesced to the military pressure	entailment	the government bowed to the military pressure
He renovated the old house, making it feel fresh and vibrant.	he brought new life into the old house	entailment	he breathed new life into the old house
Our new artificial material allows air to pass through and is ideal for clothing worn during the hot season.	our new synthetic fabric exchanges gases with the environment and is perfect for summer wear	entailment	our new synthetic fabric breathes and is perfect for summer wear
This wine from Bordeaux, which is not commonly found, should be left uncorked for 120 minutes before consumption.	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours	entailment	this rare bordeaux must be allowed to breathe for at least 2 hours
The office is filled with people working on various tasks.	this office is full of activity	entailment	this office is buzzing with activity
He pressed the servant's doorbell.	he communicated with the servant by means of a buzzer	entailment	he buzzed the servant
She made all the men fall in love with her.	she charmed all the men	entailment	she captured all the men's hearts
The judge ordered him to be imprisoned.	the judge hastily put him in jail	entailment	the judge clapped him in jail
They climbed to the summit of the mountain using their hands and feet.	they physically exerted themselves to climb to the top of the mountain	entailment	they clawed their way to the top of the mountain.
She grabbed the doorknob with her hand.	she grabbed the doorknob with her fingertips .	entailment	she clawed the doorknob.
The politician attacked his rival.	the politician flattered his rival .	entailment	the politician clawed his rival.
Sales increased following the reduction in prices.	sales were steadily increasing after prices were lowered	entailment	sales were climbing after prices were lowered
The path ascended to the summit of the hill.	the path extended all the way to the top of the hill	entailment	the path climbed all the way to the top of the hill
This young man knows how to advance in social status.	this young man knows how to improve his position in the social hierarchy	entailment	this young man knows how to climb the social ladder
Prices increased significantly.	prices went up steeply	entailment	prices climbed steeply
These operations are causing a blockage in the market.	the market is being hindered by these operations	entailment	the market is being clogged by these operations
She was unable to think clearly because of her fear.	fear impeded her thoughts	entailment	fear clogged her mind
My emotions influence my ability to make an impartial decision regarding this matter.	my personal feelings influence my judgment in this case	entailment	my personal feelings color my judgment in this case
His political beliefs influence the content of his lectures.	his political ideas influence his lectures	entailment	his political ideas color his lectures
The rooms were connected.	the rooms were connected to each other	entailment	the rooms communicated
His dedication to his ill spouse resulted in a solitary life.	his devotion to his sick wife made him have a lonely existence	entailment	his devotion to his sick wife condemned him to a lonely existence
The fire destroyed the building.	the fire overtook the building	entailment	the fire consumed the building
The comedian made the crowd laugh uncontrollably.	the comedian created great laughter in the crowd	entailment	the comedian convulsed the crowd
You can rely on me to provide assistance whenever you need it.	you can trust me to help you any time	entailment	you can count on me to help you any time
The old cheese had many maggots moving on its surface.	the old cheese had maggots crawling on it	entailment	the old cheese was crawling with maggots
The speech concluded the meeting.	the speech completed the meeting	entailment	the speech crowned the meeting
A metal device for indicating wind direction is positioned at the highest point of the building.	a weather vane sits atop the building	entailment	a weather vane crowns the building
She felt very sad and disappointed when he declined her invitation.	she was saddened by his refusal of her invitation	entailment	she was crushed by his refusal of her invitation
Seurat perfected the technique of pointillism.	seurat was the climax of pointillism .	entailment	seurat culminated pointillism.
The rejection made him feel as if he had been physically struck.	disheartened by the refusal	entailment	dashed by the refusal
He suddenly realized that she had been unfaithful to him.	he realized that she had betrayed him	entailment	it dawned on him that she had betrayed him
The era of computers had begun.	the age of computers had begun	entailment	the age of computers had dawned
The negative review of his work made him feel less confident in himself.	the bad review of his work diminished his self-confidence	entailment	the bad review of his work deflated his self-confidence
The new measures caused the economy to shrink.	the new measures lowered the general level of prices in the economy	entailment	the new measures deflated the economy
The excess of oil caused gas prices to decrease.	the glut of oil reduced gas prices	entailment	the glut of oil depressed gas prices
The absence of rain caused the water level in the reservoir to decrease.	the lack of rain had lowered the water level in the reservoir	entailment	the lack of rain had depressed the water level in the reservoir
She created a convincing reason for her absence from school that day.	she came up with a good excuse for not attending classes that day .	entailment	she designed a good excuse for not attending classes that day.
The fire consumed our house.	fire had decimated our home	entailment	fire had devoured our home
She read his novels very quickly and eagerly.	she avidly read his novels	entailment	she devoured his novels
I am unable to process all this information.	i cannot comprehend all this information	entailment	i cannot digest all this information
The government condensed the entire law into a code.	the government arranged the entire law into a code	entailment	the government digested the entire law into a code
He drank three martinis before dinner.	he drank three martinis before dinner.	entailment	he downed three martinis before dinner.
Some people can eat a pound of meat in a single meal.	some people can swallow a pound of meat in the course of one meal.	entailment	some people can down a pound of meat in the course of one meal.
Stock prices are gradually increasing.	stock prices are steadily moving higher	entailment	stock prices are drifting higher
My son moved from place to place in California for several years before he enrolled in law school.	my son wandered around for years in california before going to law school	entailment	my son drifted around for years in california before going to law school
The stock market gradually increased in value.	the stock market steadily moved upward	entailment	the stock market drifted upward
