premise	hypothesis	gold_label	original_premise
The reflection of the moon on the lake's surface appeared identical to the moon itself	The moon reflected back at itself from the lake’s surface	entailment	The moon winked back at itself from the lake’s surface
The reflection of the moon on the lake's surface appeared identical to the moon itself	The moon absorbed back at itself from the lake’s surface	not_entailment	The moon winked back at itself from the lake’s surface
The company terminated his employment following several years of working for them	The company fired him after many years of service	entailment	The company released him after many years of service
The company terminated his employment following several years of working for them	The company hired him after many years of service	not_entailment	The company released him after many years of service
The new moon rises above the treetops	The new moon rises through the tree tops	entailment	The new moon swims up through the tree tops
The new moon rises above the treetops	The new moon sinks through the tree tops	not_entailment	The new moon swims up through the tree tops
He adopted the knowledge or beliefs of his tribe	He held the knowledge or beliefs of his tribe	entailment	He embraced the knowledge or beliefs of his tribe
He adopted the knowledge or beliefs of his tribe	He released the knowledge or beliefs of his tribe	not_entailment	He embraced the knowledge or beliefs of his tribe
I long to enjoy the sun's rays once more	I want to be in sunshine once again	entailment	I want to frolic in sunshine once again
I long to enjoy the sun's rays once more	I want to hide in sunshine once again	not_entailment	I want to frolic in sunshine once again
When he enters the room, my heart beats faster	My heart beats when he walks in the room	entailment	My heart skips when he walks in the room
When he enters the room, my heart beats faster	My heart relaxed when he walks in the room	not_entailment	My heart skips when he walks in the room
His body showed the effects of having leprosy for a long time	His body was deformed by leprosy	entailment	His body was weathered by leprosy
His body showed the effects of having leprosy for a long time	His body was repaired by leprosy	not_entailment	His body was weathered by leprosy
What people do is more revealing than what they say	Actions are louder than words	entailment	Actions speak louder than words
What people do is more revealing than what they say	Actions aren't louder than words	not_entailment	Actions speak louder than words
The wind caused the window panes to vibrate	The window panes were rattling as the wind blew through them	entailment	The window panes were trembling as the wind blew through them
The wind caused the window panes to vibrate	The window panes were calm as the wind blew through them	not_entailment	The window panes were trembling as the wind blew through them
He realized that she had deceived him	It occured to him that she had betrayed him	entailment	It dawned to him that she had betrayed him
He realized that she had deceived him	It passed him that she had betrayed him	not_entailment	It dawned to him that she had betrayed him
Summer and its enjoyments depart from you	For summer and his pleasures begin on thee	entailment	For summer and his pleasures take flight on thee
Summer and its enjoyments depart from you	For summer and his pleasures stop on thee	not_entailment	For summer and his pleasures take flight on thee
They completed the interviews with the job candidates in a quick and efficient manner	They went through the job candidates	entailment	They breezed through the job candidates
They completed the interviews with the job candidates in a quick and efficient manner	They ignored through the job candidates	not_entailment	They breezed through the job candidates
The tax cut will stimulate economic growth	The tax cut will help the economy	entailment	The tax cut will fertilize the economy
The tax cut will stimulate economic growth	The tax cut will harm the economy	not_entailment	The tax cut will fertilize the economy
Death is very close	Death is coming at the door	entailment	Death is knocking at the door
Death is very close	Death is going from the door	not_entailment	Death is knocking at the door
At night, I lie down in the bed	In the depth of the night I lie in the bed	entailment	In the depth of the night I sprawl in the bed
At night, I lie down in the bed	In the depth of the night I wake up from the bed	not_entailment	In the depth of the night I sprawl in the bed
Whom fate has paired with a heavy burden of troubles	Whom fate has met with a weight of woes	entailment	Whom fate has yoked with a weight of woes
Whom fate has paired with a heavy burden of troubles	Whom fate has avoided with a weight of woes	not_entailment	Whom fate has yoked with a weight of woes
She consumed the emotional attachment of all the men	She had all the men's hearts	entailment	She swallowed all the men's hearts
She consumed the emotional attachment of all the men	She had none of the men's hearts	not_entailment	She swallowed all the men's hearts
The party came to an end immediately after she departed	The party ended as soon as she left	entailment	The party dissipated as soon as she left
The party came to an end immediately after she departed	The party started as soon as she left	not_entailment	The party dissipated as soon as she left
She did not notice that opportunity was present at her door	She did not realize that opportunity was coming at her door	entailment	She did not realize that opportunity was waltzing at her door
She did not notice that opportunity was present at her door	She did not realize that opportunity was leaving from her door	not_entailment	She did not realize that opportunity was waltzing at her door
The conditions in the camp caused him to lose vitality	Life in the camp tired him	entailment	Life in the camp wilted him
The conditions in the camp caused him to lose vitality	Life in the camp energized him	not_entailment	Life in the camp wilted him
The bridge is higher than the river	The bridge stands over the river	entailment	The bridge towers over the river
The bridge is higher than the river	The bridge breaks over the river	not_entailment	The bridge towers over the river
The children played with happiness	The children danced with joy	entailment	The children frolicked with joy
The children played with happiness	The children sulked with joy	not_entailment	The children frolicked with joy
Water flowed onto and spread out on the floor	Water poured all over the floor	entailment	Water cascaded all over the floor
Water flowed onto and spread out on the floor	Water backed up all over the floor	not_entailment	Water cascaded all over the floor
However, nature formed it with certain imperfections	But nature create it imperfect ever	entailment	But nature molded it imperfect ever
However, nature formed it with certain imperfections	But nature dismantled it imperfect ever	not_entailment	But nature molded it imperfect ever
His playing established him as a musician known for expressing deep emotions	His playing established him as a Romantic	entailment	His playing ensconced him as a Romantic
His playing established him as a musician known for expressing deep emotions	His playing disbanded him as a Romantic	not_entailment	His playing ensconced him as a Romantic
She asked the witnesses to provide information	She asked the witnesses for information	entailment	She pressed the witnesses for information
She asked the witnesses to provide information	She guarded the witnesses for information	not_entailment	She pressed the witnesses for information
He spread a thick layer of fertilizer on the lawn	He spread fertilizer over the lawn	entailment	He lathered fertilizer over the lawn
He spread a thick layer of fertilizer on the lawn	He gathered fertilizer over the lawn	not_entailment	He lathered fertilizer over the lawn
The air in the room was filled with the scent of smoke due to something being burned	The smell of smoke settled on the delinquent	entailment	The smell of smoke carpeted on the delinquent
The air in the room was filled with the scent of smoke due to something being burned	The smell of smoke took off on the delinquent	not_entailment	The smell of smoke carpeted on the delinquent
I long for the experience of looking into her eyes and observing her closely	I miss staring in her eyes and watching her	entailment	I miss wandering in her eyes and watching her
I long for the experience of looking into her eyes and observing her closely	I miss neglecting her eyes and watching her	not_entailment	I miss wandering in her eyes and watching her
The air was filled with the scent of smoke from the delinquent source	The smell of smoke settled on the delinquent	entailment	The smell of smoke rested on the delinquent
The air was filled with the scent of smoke from the delinquent source	The smell of smoke took off on the delinquent	not_entailment	The smell of smoke rested on the delinquent
We accepted the conditions outlined in the agreement	We agreed on the terms of the settlement	entailment	We took on the terms of the settlement
We accepted the conditions outlined in the agreement	We disagreed on the terms of the settlement	not_entailment	We took on the terms of the settlement
The new measures had an impact on the economy	The new measures affected the economy	entailment	The new measures jostled the economy
The new measures had an impact on the economy	The new measures helped the economy	not_entailment	The new measures jostled the economy
The tax cut will have a positive effect on the economy	The tax cut will help the economy	entailment	The tax cut will uplift the economy
The tax cut will have a positive effect on the economy	The tax cut will harm the economy	not_entailment	The tax cut will uplift the economy
The wind moves among the leaves	The wind blows through the leaves	entailment	The wind floats through the leaves
The wind moves among the leaves	The wind relaxes through the leaves	not_entailment	The wind floats through the leaves
Sadness covered their faces	Their faces were covered with sadness	entailment	Their faces were shrouded with sadness
Sadness covered their faces	Their faces were depleted of sadness	not_entailment	Their faces were shrouded with sadness
Everything went in his favor	Everything down to his glory	entailment	Everything flowed to his glory
Everything went in his favor	Everything hindered to his glory	not_entailment	Everything flowed to his glory
A loud scream was heard during the night	The scream filled the night	entailment	The scream pierced the night
A loud scream was heard during the night	The scream emptied the night	not_entailment	The scream pierced the night
Her positive outlook caused her to stop worrying about these matters	Her optimism took away these worries	entailment	Her optimism stole away these worries
Her positive outlook caused her to stop worrying about these matters	Her optimism gave away these worries	not_entailment	Her optimism stole away these worries
The new moon can be seen between the tree branches	The new moon rises through the tree tops	entailment	The new moon peers through the tree tops
The new moon can be seen between the tree branches	The new moon sets through the tree tops	not_entailment	The new moon peers through the tree tops
She placed my head against her neck	My head rested in the crook of her neck	entailment	My head lay in the crook of her neck
She placed my head against her neck	My head moved in the crook of her neck	not_entailment	My head lay in the crook of her neck
The clouds rotated around each other in the sky	The clouds spun each other around in the sky	entailment	The clouds twirled each other around in the sky
The clouds rotated around each other in the sky	The clouds stagnated each other around in the sky	not_entailment	The clouds twirled each other around in the sky
The volume of the music in the background increased	The music played in the background	entailment	The music swelled in the background
The volume of the music in the background increased	The music stopped in the background	not_entailment	The music swelled in the background
Her ego was fueled by the unexpected recognition	The sudden fame increased her ego	entailment	The sudden fame kindled her ego
