premise	hypothesis	gold_label	original_premise
The moon's reflection on the lake's surface was momentarily obscured by a ripple.	The moon reflected back at itself from the lake’s surface	entailment	The moon winked back at itself from the lake’s surface
The moon's reflection on the lake's surface was momentarily obscured by a ripple.	The moon absorbed back at itself from the lake’s surface	not_entailment	The moon winked back at itself from the lake’s surface
The company terminated his employment after many years of working for them.	The company fired him after many years of service	entailment	The company released him after many years of service
The company terminated his employment after many years of working for them.	The company hired him after many years of service	not_entailment	The company released him after many years of service
The new moon rises above the treetops.	The new moon rises through the tree tops	entailment	The new moon swims up through the tree tops
The new moon rises above the treetops.	The new moon sinks through the tree tops	not_entailment	The new moon swims up through the tree tops
He accepted the information or ideas of his community.	He held the knowledge or beliefs of his tribe	entailment	He embraced the knowledge or beliefs of his tribe
He accepted the information or ideas of his community.	He released the knowledge or beliefs of his tribe	not_entailment	He embraced the knowledge or beliefs of his tribe
I desire to play and have fun in the sunlight one more time.	I want to be in sunshine once again	entailment	I want to frolic in sunshine once again
I desire to play and have fun in the sunlight one more time.	I want to hide in sunshine once again	not_entailment	I want to frolic in sunshine once again
My pulse quickens when he enters the room.	My heart beats when he walks in the room	entailment	My heart skips when he walks in the room
My pulse quickens when he enters the room.	My heart relaxed when he walks in the room	not_entailment	My heart skips when he walks in the room
His body was damaged by leprosy.	His body was deformed by leprosy	entailment	His body was weathered by leprosy
His body was damaged by leprosy.	His body was repaired by leprosy	not_entailment	His body was weathered by leprosy
What people do is more noticeable than what they say.	Actions are louder than words	entailment	Actions speak louder than words
What people do is more noticeable than what they say.	Actions aren't louder than words	not_entailment	Actions speak louder than words
The window panes were shaking as the wind passed through them.	The window panes were rattling as the wind blew through them	entailment	The window panes were trembling as the wind blew through them
The window panes were shaking as the wind passed through them.	The window panes were calm as the wind blew through them	not_entailment	The window panes were trembling as the wind blew through them
He realized that she had been unfaithful to him.	It occured to him that she had betrayed him	entailment	It dawned to him that she had betrayed him
He realized that she had been unfaithful to him.	It passed him that she had betrayed him	not_entailment	It dawned to him that she had betrayed him
Summer and its enjoyable activities will end when you leave.	For summer and his pleasures begin on thee	entailment	For summer and his pleasures take flight on thee
Summer and its enjoyable activities will end when you leave.	For summer and his pleasures stop on thee	not_entailment	For summer and his pleasures take flight on thee
They quickly and easily reviewed the job candidates.	They went through the job candidates	entailment	They breezed through the job candidates
They quickly and easily reviewed the job candidates.	They ignored through the job candidates	not_entailment	They breezed through the job candidates
The tax cut will encourage economic growth.	The tax cut will help the economy	entailment	The tax cut will fertilize the economy
The tax cut will encourage economic growth.	The tax cut will harm the economy	not_entailment	The tax cut will fertilize the economy
Death is approaching.	Death is coming at the door	entailment	Death is knocking at the door
Death is approaching.	Death is going from the door	not_entailment	Death is knocking at the door
I lie down on the bed at a late hour.	In the depth of the night I lie in the bed	entailment	In the depth of the night I sprawl in the bed
I lie down on the bed at a late hour.	In the depth of the night I wake up from the bed	not_entailment	In the depth of the night I sprawl in the bed
Whom fate has burdened with a heavy load of misfortunes.	Whom fate has met with a weight of woes	entailment	Whom fate has yoked with a weight of woes
Whom fate has burdened with a heavy load of misfortunes.	Whom fate has avoided with a weight of woes	not_entailment	Whom fate has yoked with a weight of woes
She ate the hearts of all the men.	She had all the men's hearts	entailment	She swallowed all the men's hearts
She ate the hearts of all the men.	She had none of the men's hearts	not_entailment	She swallowed all the men's hearts
The party ended as soon as she left.	The party ended as soon as she left	entailment	The party dissipated as soon as she left
The party ended as soon as she left.	The party started as soon as she left	not_entailment	The party dissipated as soon as she left
She did not realize that an opportunity was available to her.	She did not realize that opportunity was coming at her door	entailment	She did not realize that opportunity was waltzing at her door
She did not realize that an opportunity was available to her.	She did not realize that opportunity was leaving from her door	not_entailment	She did not realize that opportunity was waltzing at her door
The conditions in the camp caused him to become physically and mentally weak.	Life in the camp tired him	entailment	Life in the camp wilted him
The conditions in the camp caused him to become physically and mentally weak.	Life in the camp energized him	not_entailment	Life in the camp wilted him
The bridge is significantly taller than the river.	The bridge stands over the river	entailment	The bridge towers over the river
The bridge is significantly taller than the river.	The bridge breaks over the river	not_entailment	The bridge towers over the river
The children played happily.	The children danced with joy	entailment	The children frolicked with joy
The children played happily.	The children sulked with joy	not_entailment	The children frolicked with joy
A large amount of water fell onto the floor.	Water poured all over the floor	entailment	Water cascaded all over the floor
A large amount of water fell onto the floor.	Water backed up all over the floor	not_entailment	Water cascaded all over the floor
But nature formed it with permanent imperfections.	But nature create it imperfect ever	entailment	But nature molded it imperfect ever
But nature formed it with permanent imperfections.	But nature dismantled it imperfect ever	not_entailment	But nature molded it imperfect ever
His performance established him as a romantic musician.	His playing established him as a Romantic	entailment	His playing ensconced him as a Romantic
His performance established him as a romantic musician.	His playing disbanded him as a Romantic	not_entailment	His playing ensconced him as a Romantic
She asked the witnesses for information.	She asked the witnesses for information	entailment	She pressed the witnesses for information
She asked the witnesses for information.	She guarded the witnesses for information	not_entailment	She pressed the witnesses for information
He spread fertilizer over the lawn.	He spread fertilizer over the lawn	entailment	He lathered fertilizer over the lawn
He spread fertilizer over the lawn.	He gathered fertilizer over the lawn	not_entailment	He lathered fertilizer over the lawn
The smell of smoke covered the person who had committed a crime.	The smell of smoke settled on the delinquent	entailment	The smell of smoke carpeted on the delinquent
The smell of smoke covered the person who had committed a crime.	The smell of smoke took off on the delinquent	not_entailment	The smell of smoke carpeted on the delinquent
I miss looking into her eyes and observing her.	I miss staring in her eyes and watching her	entailment	I miss wandering in her eyes and watching her
I miss looking into her eyes and observing her.	I miss neglecting her eyes and watching her	not_entailment	I miss wandering in her eyes and watching her
The smell of smoke was present on the person who had committed an illegal act.	The smell of smoke settled on the delinquent	entailment	The smell of smoke rested on the delinquent
The smell of smoke was present on the person who had committed an illegal act.	The smell of smoke took off on the delinquent	not_entailment	The smell of smoke rested on the delinquent
We accepted the conditions of the agreement.	We agreed on the terms of the settlement	entailment	We took on the terms of the settlement
We accepted the conditions of the agreement.	We disagreed on the terms of the settlement	not_entailment	We took on the terms of the settlement
The new measures caused a disturbance in the economy.	The new measures affected the economy	entailment	The new measures jostled the economy
The new measures caused a disturbance in the economy.	The new measures helped the economy	not_entailment	The new measures jostled the economy
The tax reduction will improve the economy.	The tax cut will help the economy	entailment	The tax cut will uplift the economy
The tax reduction will improve the economy.	The tax cut will harm the economy	not_entailment	The tax cut will uplift the economy
The air moves through the foliage.	The wind blows through the leaves	entailment	The wind floats through the leaves
The air moves through the foliage.	The wind relaxes through the leaves	not_entailment	The wind floats through the leaves
Their faces showed sadness.	Their faces were covered with sadness	entailment	Their faces were shrouded with sadness
Their faces showed sadness.	Their faces were depleted of sadness	not_entailment	Their faces were shrouded with sadness
Everything was directed towards his success.	Everything down to his glory	entailment	Everything flowed to his glory
Everything was directed towards his success.	Everything hindered to his glory	not_entailment	Everything flowed to his glory
The scream was so loud that it seemed to penetrate the darkness of the night.	The scream filled the night	entailment	The scream pierced the night
The scream was so loud that it seemed to penetrate the darkness of the night.	The scream emptied the night	not_entailment	The scream pierced the night
Her optimism removed these worries.	Her optimism took away these worries	entailment	Her optimism stole away these worries
