premise	hypothesis	gold_label	original_hypothesis
It is sad to observe the consequences of ignorance.	It is sad to see the results of not knowing.	entailment	It is sad to observe the fruits of ignorance.
It is amusing to observe the fruits of ignorance.	It is sad to see the results of not knowing.	not_entailment	It is sad to observe the fruits of ignorance.
That guy knows how to charm and manage people and work his way up the social ladder.	This young man knows how to increase his social status.	entailment	This young man knows how to climb the social ladder.
This young man is stuck in the middle of this social ladder.	This young man knows how to increase his social status.	not_entailment	This young man knows how to climb the social ladder.
A man who is fat and large floats like a log in the small swimming pool.	The man was a large person who was swimming in a small pool.	entailment	The guy was a floating whale in the small swimming pool.
The guy was a drowning otter in the large swimming pool.	The man was a large person who was swimming in a small pool.	not_entailment	The guy was a floating whale in the small swimming pool.
The fact that I was hiding in the steel jungle, moving from one cover to the other, was like being a tiger.	Was it even now following them, moving without making any noise from one hiding place to another, like a tiger in the city?	entailment	Was it even now shadowing them, moving soundlessly from cover to cover, like a tiger in the steel jungle ?
The fact that I was hiding in the steel jungle, moving from one cover to the other, was like being scared, afraid and vulnerable	Was it even now following them, moving without making any noise from one hiding place to another, like a tiger in the city?	not_entailment	Was it even now shadowing them, moving soundlessly from cover to cover, like a tiger in the steel jungle ?
I tried solving the problem as soon as I got out of bed.	I started working on the problem immediately after I woke up and left my bed.	entailment	I attacked the problem as soon as I got out of bed.
I put off doing my work until I had no choice left but to do it.	I started working on the problem immediately after I woke up and left my bed.	not_entailment	I attacked the problem as soon as I got out of bed.
I can't stop shaking from the anger, and also I seem to be pale because of the rage.	Shaking with anger, and turning pale with fury.	entailment	Trembling for ire, and stricken pale for rage.
Trembling for ire, and disregard pale for rage.	Shaking with anger, and turning pale with fury.	not_entailment	Trembling for ire, and stricken pale for rage.
Marcus spent the whole day reading this book and was happy about it.	Marcus liked reading the book.	entailment	Marcus enjoyed the book.
Marcus hated the book.	Marcus liked reading the book.	not_entailment	Marcus enjoyed the book.
My feelings of love make me very joyous just like a summer day.	My feelings of affection are like the warmth and brightness of a summer day.	entailment	My love is a summer day.
My love is a long winter night.	My feelings of affection are like the warmth and brightness of a summer day.	not_entailment	My love is a summer day.
He was involved in a spree for laughing so hard.	He was laughing uncontrollably.	entailment	He was interwoven in a laughing fit.
He was uninvolved in a laughing fit.	He was laughing uncontrollably.	not_entailment	He was interwoven in a laughing fit.
I was overwhelmed by work.	I had a lot of work to do.	entailment	I was drowned in work.
I was rescued from work.	I had a lot of work to do.	not_entailment	I was drowned in work.
He never gives up in an argument.	I have never been able to convince him of my point of view.	entailment	I never won an argument with him.
I always win my arguments with him.	I have never been able to convince him of my point of view.	not_entailment	I never won an argument with him.
Only caused the fire to burn brighter ,	The flames became more intense.	entailment	Only made the fire burn brighter ,
Only stopped the fire to burn brighter .	He caused the fire to increase in intensity.	not_entailment	Only made he fire burn brighter ,
The knowledge of this all put her in a very high state of emotions.	She felt an intense and overwhelming excitement.	entailment	All of this stirred an uncontrollable excitement in her.
All of this stirred a dullness for her.	She felt an intense and overwhelming excitement.	not_entailment	All of this stirred an uncontrollable excitement in her.
Stains on the carpet managed to survive several name changes and still persist.	The marks on the floor covering have remained after each alteration of the label.	entailment	The stains on the carpet have survived every name change .
The stains on the carpet have succumbed to every name change.	The marks on the floor covering have remained after each alteration of the label.	not_entailment	The stains on the carpet have survived every name change .
I hold him dear and love him very much.	He is very important to me.	entailment	He is the apple of my eye.
I strongly despise him.	He is very important to me.	not_entailment	He is the apple of my eye.
The dancer moved so fast that it seemed like she was across the stage.	The dancer moved smoothly and effortlessly across the stage.	entailment	The dancer glided across the stage.
The dancer paused at the middle of the stage.	The dancer moved smoothly and effortlessly across the stage.	not_entailment	The dancer glided across the stage.
Weather vane tops off this magnificent building.	A metal arrow-shaped device that indicates wind direction is located at the highest point of the building.	entailment	A weather vane crowns the building.
A weather vane mars the building.	A metal arrow-shaped device that indicates wind direction is located at the highest point of the building.	not_entailment	A weather vane crowns the building.
When it rains in Tokyo, umbrellas are everywhere.	When it rains in Tokyo, many people use umbrellas, and the city is filled with them.	entailment	When it rains in Tokyo the city becomes a sea of umbrellas.
When it rains in Tokyo you won't find umbrellas in it.	When it rains in Tokyo, many people use umbrellas, and the city is filled with them.	not_entailment	When it rains in Tokyo the city becomes a sea of umbrellas.
She was distracted by her thoughts and memories.	She was so focused on her thoughts and memories that she was unaware of her surroundings.	entailment	She was lost in her thoughts and memories.
She was attentive and present to the conversation.	She was so focused on her thoughts and memories that she was unaware of her surroundings.	not_entailment	She was lost in her thoughts and memories.
Their faces were covered with sadness.	Their faces were covered with sadness.	entailment	Their faces were blanketed with sadness.
Their faces lost all the sadness and sorrow.	Their faces were covered with sadness.	not_entailment	Their faces were blanketed with sadness.
A few people will be affected by the play.	The play will be very impactful for some people.	entailment	The play is going to pummel a few people.
The drama is going to make people laugh at the end.	The play will be very impactful for some people.	not_entailment	The play is going to pummel a few people.
His snobbishness pissed me off.	His arrogant and patronizing behavior caused me to feel extremely angry.	entailment	His condescending attitude made my blood boil.
His kind demeanor melted my heart.	His arrogant and patronizing behavior caused me to feel extremely angry.	not_entailment	His condescending attitude made my blood boil.
We could still be looking for it when they surpassed us . ’	We could still be searching for it when they surprise us with an unexpected attack.	entailment	We could still be looking for it when they blow us out of the water.
We could still be looking for it because we beat them soundly.	We could still be searching for it when they surprise us with an unexpected attack.	not_entailment	We could still be looking for it when they blow us out of the water.
He was overwhelmed by an anger he had suppressed for a long time and thus he finally snapped when someone made him so mad.	His heart experienced a sudden and intense feeling of anger.	entailment	An ancient anger exploded in his heart.
An ancient anger dissipated in his heart.	His heart experienced a sudden and intense feeling of anger.	not_entailment	An ancient anger exploded in his heart.
