premise	hypothesis	gold_label	original_premise	original_hypothesis
We require these extra resources to maintain our work to enhance the GAO and serve as an exemplary entity for the federal government and accountability institutions globally.	We aim to enhance the GAO's capabilities as it currently faces numerous challenges.	not_entailment	We need these additional resources to continue our efforts to further strengthen GAO and be a model organization for the rest of the federal government and accountability organizations around the world.	We want to make GAO stronger because it has a lot of problems right now.
If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book will only require one presentation regardless of the circumstances.	not_entailment	If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book will only need one pitching no matter what.
Local newspapers and the few influential satellite broadcasters, such as al Jazeera, often reinforce the jihadist theme that presents the United States as opposed to Muslims.	Some newspapers publish articles that promote negative opinions about Muslims.	entailment	Local newspapers and the few influential satellite broadcasters-like al Jazeera-often reinforce the jihadist theme that portrays the United States as anti-Muslim.	Some newspapers spread anti-Muslim rhetoric.
A short distance behind the elevated road are several distinctive clubs with a more modern style.	The increasing number of clubs are distinctive and have a style that is more characteristic of cities.	entailment	Just a few blocks in back of the malecen are a growing collection of unique clubs with a more urban edge.	The growing collection of clubs are unique and have a more urban edge.
They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	All the people in the house were feeling sad and showing it because they were very emotionally affected by Joe's absence.	entailment	They took Joe with them, and my Granny said, she said it was such a sad time in the house because, you know, everybody was missing Joe and they didn't know what to do.	Everyone in the house was moping because they missed Joe so much.
The gentle, comforting, childlike words help us to reduce our worries about computers that malfunction and fail.	Children's words are gentle and comforting, which makes us feel less worried about computer malfunctions and failures.	entailment	The soft, warm, children's words allow us to allay our fears about computers that crash and bomb and abort.	Children's words are soft and warm which allays our fears about computers that crash and bomb and abort.
If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book might need to be presented again.	entailment	If enough people buy this book, it will soon need a second printing which, it is hoped, will include some of the foregoing (not these ) recommendations.	The book might need a second pitching.
Population growth is the opposite of pollution.	The absence of a connection exists between the increase in the number of people and the presence of contaminants in the environment.	not_entailment	Population growth is like pollution in reverse.	There is no relation between population growth and pollution.
You have the audacity to reprimand me because I refuse to shake your hands, knowing they are covered in blood; knowing you are a killer and more? He looked at her in shock.	He decided not to bring his hands because they have evidence of a crime on them.	entailment	You have the effrontery to upbraid me because I will not take your hands when I know how they are stained; when I know you for a murderer and worse? He stared at her open-mouthed.	He chose not to take his hands because they are tainted with a crime.
The USDA argues that more power to enforce is required, and for this purpose, it is promoting a bill intended to increase its power.	The United States Department of Agriculture states that they require an increased number of personnel.	entailment	The USDA argues, however, that what is needed is more enforcement power, and to that end, it is advancing a bill designed to expand its authority.	The USDA says they need a bigger force.
As you move past the trees, you might notice an old chimney rising above the highest branches, indicating that the village was previously part of a large estate.	The chimney, among other things, indicate the village used to be part of a hacienda.	not_entailment	As you pass through them you may see an old chimney breaking above the tree line, a sure sign that the village was once part of a hacienda.	The chimney, among other things, indicate the village used to be part of a hacienda.
Your assistance today will allow us to increase the number of the Center's essential educational, leadership, and outreach programs, which will contribute to the enhancement of America's charitable legacy.	You have the ability to provide assistance in increasing our business operations to include seven additional states.	not_entailment	Your help today will enable us to strengthen further America's philanthropic heritage by expanding the Center's crucial educational, leadership and outreach programs.	You could help us expand into seven states.
I hope that you felt very happy and inspired by this topic.	I hope this issue gave you newfound enthusiasm.	entailment	My hope is you were greatly blessed and encouraged by this issue.	I hope this issue gave you newfound enthusiasm.
WorldCom offered $30 billion for MCI, which was more than British Telecom's offer, taking advantage of the strained relationship between British Telecom and MCI.	WorldCom and BT were competing to offer the highest price for a particular item.	entailment	More Capitalizing on frayed relations between British Telecom and MCI, WorldCom outbid BT by offering $30 billion for MCI.	WorldCom was in a bidding war against BT.
