premise	hypothesis	gold_label	original_premise
he paid for the damages caused by the accident	he paid for the costs for the accident .	entailment	he absorbed the costs for the accident.
The sales tax is added to the state income tax	the sales tax is incorporated into the state income tax .	entailment	the sales tax is absorbed into the state income tax.
Immigrants assimilated into society at a fast rate	the immigrants were quickly assimilated into society .	entailment	the immigrants were quickly absorbed into society.
Her fascination with butterflies occupies all of her attention	her interest in butterflies engages her completely .	entailment	her interest in butterflies absorbs her completely.
it is necessary to follow the regulations	you must obey the rules .	entailment	you must adhere to the rules.
The individuals living in this community practice the Catholic religion	the residents of this village were devoted in belief to catholicism .	entailment	the residents of this village adhered to catholicism.
there is no answer to this problem	this problem allows for no solution	entailment	this problem admits of no solution
She expressed her views about welfare	she openly discussed her opinions on welfare	entailment	she aired her opinions on welfare
This idea will not develop into a significant or productive outcome	this idea will never be worth anything	entailment	this idea will never amount to anything
my new car responds to the slightest pressure applied to the steering wheel	the steering of my new car is sensitive to the slightest touch	entailment	the steering of my new car answers to the slightest touch
I began dealing with the issue as soon as I woke up	i tried solving the problem as soon as i got out of bed	entailment	i attacked the problem as soon as i got out of bed
Which horse are you betting on? (The original sentence contains a metaphorical expression "backing	which horse are you betting on ?	entailment	which horse are you backing?
she was confronted with numerous issues that led to her feeling disheartened	she was surrounded by so many problems that she got discouraged	entailment	she was besieged by so many problems that she got discouraged
When speaking into a microphone, she spoke loudly and forcefully	she tended to be loud when speaking into a microphone	entailment	she tended to blast when speaking into a microphone
meteors shone brightly in the atmosphere	meteors moved quickly across the atmosphere .	entailment	meteors blazed across the atmosphere.
the difference between the two theories became less clear	the distinction between the two theories became unclear	entailment	the distinction between the two theories blurred
don't eat your food too quickly	don't swallow your food without chewing !	entailment	don't bolt your food!
The government yielded to the military demands	the government acquiesced to the military pressure	entailment	the government bowed to the military pressure
he revived the old house by making improvements or repairs	he brought new life into the old house	entailment	he breathed new life into the old house
The new synthetic fabric allows for the passage of air and is suitable for summer clothing	our new synthetic fabric exchanges gases with the environment and is perfect for summer wear	entailment	our new synthetic fabric breathes and is perfect for summer wear
It is necessary for this rare Bordeaux wine to be exposed to air for a minimum of	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours	entailment	this rare bordeaux must be allowed to breathe for at least 2 hours
there is a great deal of work being done in this office	this office is full of activity	entailment	this office is buzzing with activity
he rang the bell for the servant to come	he communicated with the servant by means of a buzzer	entailment	he buzzed the servant
she won the affection of all the men	she charmed all the men	entailment	she captured all the men's hearts
The judge ordered that the man be taken to a cell and kept there	the judge hastily put him in jail	entailment	the judge clapped him in jail
They ascended the mountain using their hands and fingers	they physically exerted themselves to climb to the top of the mountain	entailment	they clawed their way to the top of the mountain.
She grasped the doorknob firmly with her fingers	she grabbed the doorknob with her fingertips .	entailment	she clawed the doorknob.
The politician used his fingers to scratch his rival	the politician flattered his rival .	entailment	the politician clawed his rival.
after a decrease in prices, sales increased	sales were steadily increasing after prices were lowered	entailment	sales were climbing after prices were lowered
The path ascended to the summit of the hill	the path extended all the way to the top of the hill	entailment	the path climbed all the way to the top of the hill
