premise	hypothesis	gold_label	original_premise
The girl moved quickly and erratically, like a sparrow.	The girl was very fickle.	entailment	The girl had the flightiness of a sparrow
The girl moved quickly and erratically, like a sparrow.	The girl was very stable.	not_entailment	The girl had the flightiness of a sparrow
The girl was as stable as a rock.	The girl was very stable.	entailment	The girl had the flightiness of a rock
The girl was as stable as a rock.	The girl was very fickle.	not_entailment	The girl had the flightiness of a rock
The place was very quiet.	It was very peaceful.	entailment	It was as peaceful as a church.
The place was very quiet.	It was full of conflict and danger, not peace.	not_entailment	It was as peaceful as a church.
The environment was not peaceful at all.	It was full of conflict and danger, not peace.	entailment	It was as peaceful as a battlefield.
The environment was not peaceful at all.	It was very peaceful.	not_entailment	It was as peaceful as a battlefield.
The leaves were the same shade of green as the grass.	The leaves were very green	entailment	The leaves were as green as grass
The leaves were the same shade of green as the grass.	The leaves were brown and not green at all.	not_entailment	The leaves were as green as grass
The leaves were the same shade of green as the dirt.	The leaves were brown and not green at all.	entailment	The leaves were as green as dirt
The leaves were the same shade of green as the dirt.	The leaves were very green	not_entailment	The leaves were as green as dirt
Shopping for groceries is like collecting shells on a sunny beach.	Shopping for groceries is a fun, rewarding chore	entailment	Shopping for groceries is finding shells on a sunny beach
Shopping for groceries is like collecting shells on a sunny beach.	Shopping for groceries is a crazy, nearly impossible chore	not_entailment	Shopping for groceries is finding shells on a sunny beach
Shopping for groceries is a challenging task that requires searching for items on a list that seems illogical.	Shopping for groceries is a crazy, nearly impossible chore	entailment	Shopping for groceries is a scavenger hunt with a list created by a lunatic
Shopping for groceries is a challenging task that requires searching for items on a list that seems illogical.	Shopping for groceries is a fun, rewarding chore	not_entailment	Shopping for groceries is a scavenger hunt with a list created by a lunatic
War is a harmful action that causes unnecessary damage and suffering.	War is the wrong solution to a problem	entailment	War is an amputation on the wrong limb
War is a harmful action that causes unnecessary damage and suffering.	War is a necessary solution	not_entailment	War is an amputation on the wrong limb
War is a necessary sacrifice to ensure survival.	War is a necessary solution	entailment	War is an amputation to save your life
War is a necessary sacrifice to ensure survival.	War is the wrong solution to a problem	not_entailment	War is an amputation to save your life
The color is a vibrant shade of green, similar to the hue of grass during the spring season.	It's fairy green	entailment	It's as green as grass in the spring
The color is a vibrant shade of green, similar to the hue of grass during the spring season.	It's not too green	not_entailment	It's as green as grass in the spring
The object is the same shade of green as grass is during a hot summer.	It's not too green	entailment	It's as green as grass during a hot summer
The object is the same shade of green as grass is during a hot summer.	It's fairy green	not_entailment	It's as green as grass during a hot summer
The puppy is sleeping and the environment is very quiet.	It's very peaceful	entailment	This is as peaceful as a sleeping puppy
The puppy is sleeping and the environment is very quiet.	It's not very peaceful	not_entailment	This is as peaceful as a sleeping puppy
This is as peaceful as a European person was in the 1940s.	It's not very peaceful	entailment	This is as peaceful as European in the '40s
This is as peaceful as a European person was in the 1940s.	It's very peaceful	not_entailment	This is as peaceful as European in the '40s
The music was as loud as a siren.	The music was very loud.	entailment	The music was loud like a siren.
The music was as loud as a siren.	The music was very quiet.	not_entailment	The music was loud like a siren.
The music was quiet.	The music was very quiet.	entailment	The music was loud like a whisper.
The music was quiet.	The music was very loud.	not_entailment	The music was loud like a whisper.
Jobs are as rare as a married man.	Jobs are not available.	entailment	Jobs are as available as a marriage man.
Jobs are as rare as a married man.	Jobs are very available.	not_entailment	Jobs are as available as a marriage man.
Jobs are as common as unmarried men.	Jobs are very available.	entailment	Jobs are as available as a bachelor.
Jobs are as common as unmarried men.	Jobs are not available.	not_entailment	Jobs are as available as a bachelor.
A person is flying.	Peace is impossible	entailment	Peace is a human flying
A person is flying.	Peace is possible	not_entailment	Peace is a human flying
A person is walking.	Peace is possible	entailment	Peace is a human walking
A person is walking.	Peace is impossible	not_entailment	Peace is a human walking
Plants are a soothing and calming presence.	Plants are calming	entailment	Plants are a lullaby
Plants are a soothing and calming presence.	Plants are disturbing	not_entailment	Plants are a lullaby
